name	canonical_url	category	kind	modes	tags	provenance
AirSim	https://github.com/Microsoft/AirSim	autonomous-driving	simulator	train,eval	autonomous-driving	aae
CARLA	https://github.com/carla-simulator/carla	autonomous-driving	simulator	train,eval	driving	arle
HighwayEnv	https://github.com/Farama-Foundation/HighwayEnv	autonomous-driving	simulator	train,eval	driving	arle
MetaDrive	https://github.com/metadriverse/metadrive	autonomous-driving	simulator	train,eval	driving	arle
Commit0	https://github.com/commit-0/commit0	coding	benchmark	eval	from-spec,software-engineering	aab
debug-gym	https://github.com/microsoft/debug-gym	coding	environment	train,eval	debugging,tools	arle
LoCoBench-Agent	https://github.com/SalesforceAIResearch/LoCoBench-Agent	coding	benchmark	eval	long-context,software-engineering	aab
MLE-bench	https://github.com/openai/mle-bench	coding	benchmark	eval	ml-engineering	aab,arle
Multi-SWE-Bench	https://github.com/multi-swe-bench/multi-swe-bench	coding	benchmark	eval	software-engineering	aarle
ProjDevBench	https://github.com/zsworld6/projdevbench	coding	benchmark	eval	project-development,software-engineering	aab
R2E-Gym	https://github.com/R2E-Gym/R2E-Gym	coding	environment	train,eval	software-engineering	aarle
SciCode	https://github.com/scicode-bench/SciCode	coding	benchmark	eval	scientific-coding	aab
SWE-bench	https://github.com/SWE-bench/SWE-bench	coding	benchmark	eval	software-engineering	aab,aarle,arle
SWE-bench Pro	https://github.com/scaleapi/SWE-bench_Pro-os	coding	benchmark	eval	software-engineering	aarle
SWE-bench-Live	https://github.com/microsoft/SWE-bench-Live	coding	benchmark	eval	software-engineering	aarle
SWE-Gym	https://github.com/SWE-Gym/SWE-Gym	coding	environment	train,eval	software-engineering	aarle,arle
USACO	https://github.com/princeton-nlp/USACO	coding	benchmark	eval	competitive-programming	aab
Agent-S	https://github.com/simular-ai/Agent-S	computer-use	framework	train,eval	computer-use	aarle
AndroidEnv	https://github.com/google-deepmind/android_env	computer-use	environment	train,eval	computer-use	arle
AndroidWorld	https://github.com/google-research/android_world	computer-use	environment	eval	computer-use	aab,aarle,arle
CRAB	https://github.com/camel-ai/crab	computer-use	benchmark	eval	computer-use,multimodal	aab
OSUniverse	https://github.com/agentsea/osuniverse	computer-use	benchmark	eval	computer-use,multimodal	aab
OSWorld	https://github.com/xlang-ai/OSWorld	computer-use	environment	eval	computer-use	aab,aarle,arle
OSWorld-MCP	https://github.com/X-PLUG/OSWorld-MCP	computer-use	benchmark	eval	computer-use,mcp	aab
SCUBA	https://github.com/SalesforceAIResearch/SCUBA	computer-use	benchmark	eval	crm,enterprise	aab
Spider2-V	https://github.com/xlang-ai/Spider2-V	computer-use	benchmark	eval	data-engineering,enterprise	aab
Terminal-Bench	https://github.com/laude-institute/terminal-bench	computer-use	benchmark	eval	computer-use	arle
Terminal-Bench 2.0	https://github.com/harbor-framework/terminal-bench-2	computer-use	benchmark	eval	long-horizon,terminal	aab
UI-CUBE	https://github.com/UiPath/uipath_enterprise_benchmark	computer-use	benchmark	eval	computer-use,enterprise	aab
Windows Agent Arena	https://github.com/microsoft/WindowsAgentArena	computer-use	environment	eval	computer-use	aarle
CityLearn	https://github.com/intelligent-environments-lab/CityLearn	domain-specific	environment	train,eval	energy	arle
FinRL	https://github.com/AI4Finance-Foundation/FinRL	domain-specific	environment	train,eval	finance	arle
Flatland	https://github.com/flatland-association/flatland-rl	domain-specific	environment	train,eval	rail	arle
Gym-ANM	https://github.com/robinhenry/gym-anm	domain-specific	environment	train,eval	energy	arle
BEHAVIOR-1K	https://github.com/StanfordVL/BEHAVIOR-1K	embodied	benchmark	eval	embodied	aab
MineAnyBuild	https://github.com/MineAnyBuild/MineAnyBuild	embodied	benchmark	eval	embodied	aab
Robotouille	https://github.com/portal-cornell/robotouille	embodied	benchmark	eval	embodied	aab
